aspect oriented programming,extraction of specific functionalities to external classes or modules. For example logging.,8,2025-06-07T21:15:24.268790200
base (math),a number to be rased by some power,8,2025-06-07T21:17:25.945771800
due diligence,customer checks. due means proper.diligence means persitant work.,7,2025-06-07T21:19:20.998019800
due diligence,proper level of care. due means proper. diligence means care.,8,2025-06-07T21:22:37.177343700
due diligence,proper level of inverstigation,8,2025-06-07T21:23:16.620794200
roll out,put code/feature/functionality into production,9,2025-06-07T22:10:37.901100200
YubiKey,it is a usb device for mac for authentication,9,2025-06-07T22:12:07.466916500
heap space,what is the difference between heap space and runtime. answer in 50 words,8,2025-06-07T22:12:59.563574600
Java EE,java enterprise edition; this is a java version for large companies,7,2025-06-07T22:16:30.662406600
Unix,operating system,8,2025-06-07T22:19:58.280185500
runtime,environment and time where an app runs,8,2025-06-07T22:21:32.641811500
pivot,truning point,9,2025-06-07T22:21:56.424246400
due diligence,proper inverstigation and checks,9,2025-06-08T20:42:00.783697
runtime,Software providing needed componens and resources to run a program. Runtime also refers to a time when a program is being ran.,10,2025-06-08T20:53:49.390008100
memoization,it is a programmin technique; when intermediate results are saved to the memory; so they do not need to be rediscovered,10,2025-06-08T20:57:50.100697
diligence,care; research; investigation,8,2025-06-08T21:04:35.314938
traverse,visit all places; go trhough something; loop through something,8,2025-06-08T21:07:21.411005
deduce,conclude from evidence,10,2025-06-08T21:11:03.022037
cohesion,level of interconnectedness,8,2025-06-08T21:11:44.889112500
interface,provides abstraction; hides details; exposes key / needed features,10,2025-06-08T21:14:36.639935900
Azure,it is cloud computing platform provided by Microsoft,10,2025-06-08T21:15:16.526789100
Ivy,Ivy is a software to manage application dependecies. Can be integrated to Gradle or Jenkins. Can access Ivy repository.,9,2025-06-08T21:16:36.049484200
VPN whitelisting,Setting objects that can be accessed through VPN (Virtual Private Network) connection.,8,2025-06-08T21:18:08.677885500
interface,provides abstraction; hides details; exposes key / needed features,10,2025-06-08T21:21:41.006955900
PPTE,pre production test environment - where changes has to be tested right before they get deployed to production,10,2025-06-09T21:14:43.938355400
Rancher features,it has a user interface,8,2025-06-09T21:34:32.783060500
synchronous,action that happend right after antoher has has finished.,9,2025-06-09T21:43:44.581758500
stakeholder,any person intrested in the outcome of software building process,10,2025-06-09T21:46:29.481736400
container image,contains environment parameters and runnable application. Runs on a pod and provides an application instance,9,2025-06-09T21:48:50.797762600
reason for memory lack in Jenkins,If Jenkins settings allow too low resources that the source or it's tests actually need,8,2025-06-09T21:50:25.834673400
usability testing,testing from the point of user; basically UI/UX testing,9,2025-06-09T21:51:30.724773
functional testing,evaluates if the app generates correct outcome,9,2025-06-09T21:52:49.515599900
F5 rules,define how the traffic is being directed to app instances; pods; namespaces and clusters,8,2025-06-09T21:54:26.426007
Docker,container rutime,10,2025-06-09T21:54:51.634720900
domain model,definition of roles and processes of a specific business part,8,2025-06-09T21:55:29.834754600
dispose of memory,releasing memory,10,2025-06-10T23:16:41.784599600
directed graph,grapth are connected nodes. directed means that a connections has signle direction; from one one to another,8,2025-06-10T23:23:00.447986100
sticky session benefit,no need to serialize objects and transfer them over network,9,2025-06-10T23:25:11.089336400
test pilot,when a new feature is released partialy for testing purposes,8,2025-06-10T23:32:47.497049
AD,those are role based rights; spelled out as Access Direct. Or this can mean Architecture Description.,7,2025-06-10T23:34:17.717216300
JSP,java script pages. format to write frontend pages using javascript logic,0,2025-06-10T23:35:38.881067
PV,persistent volume - in Kubernetes or Openshift this is storage that is independent from containers,10,2025-06-12T22:20:10.965867100
onboarding,integrating into organisation; welcome to the organisation,9,2025-06-12T22:37:42.095886600
JSP,Java Server Pages - source code of webpages containing markup and logic,8,2025-06-12T22:38:55.759828100
bad separation of concerns (DDD),when a class contains functions beloging to separate business domains,8,2025-06-12T22:40:25.064391600
CTO,chief technical officer - head of IT,7,2025-06-12T22:42:54.181639700
subsetting data,separating data into smaller portions,8,2025-06-12T22:43:48.192518800
signup metadata,aditional data for signup; other than username and password,9,2025-06-12T22:45:48.434953600
separation of concerns (DDD),when a class does more than one thing,0,2025-06-12T22:47:15.443041200
asynchronous,processes that might overlap,8,2025-06-12T22:48:18.015064300
greedy solution,solution maximizing immediate result; not planning ahead,10,2025-06-12T22:57:06.016155400
Genesys Cloud,cloud based software for call centers,9,2025-06-14T17:47:49.859191
PV,Persistant Volume - in conairesed application platforms this is a memory that is independent from nodes.,0,2025-06-14T17:50:54.203353900
bounded context,Part of company IT solutions where terminology is not ambiguos because it belongs to specific business part,9,2025-06-14T17:53:23.209876100
XSS,cross site scripting - this is a way to hack apps by inserting pieces of code into fields.,6,2025-06-14T17:54:43.412532400
allocate a list,means to reserve a specific memory for list items to be stored,9,2025-06-14T17:56:01.254846900
DPIA,data protection something,0,2025-06-14T17:56:54.554354600
separation of concerns (DDD),placing code addressing separate functionality to separate contexts like class; modules or services,8,2025-06-14T17:58:38.152417700
VIP (OpenShift),Virtual Internet Protocol - directs traffic to a specific namespace,0,2025-06-14T18:00:08.700362
thoroughness,quality of a person who works with attention to details; precision and care,10,2025-06-14T19:11:47.918855600
fetch,means go; take and bring back,10,2025-06-15T13:05:12.293630400
CI,Continuous Integration - this means that the source code parts are combined / integrated to the end product in an automatic way,2,2025-06-15T13:06:45.122909900
tampering,alter in a damaging way,9,2025-06-15T13:19:19.825458400
.war file,archive file; similar to .jar. From this file an application can be run,8,2025-06-15T13:20:40.245360900
dispose,to free up. example - dispose memory - fee up memory. dispose list - fee up memory allocated to a list items,9,2025-06-15T13:29:09.546478800
DC,data center - a building where physical servers are store and other hardware as well,8,2025-06-15T13:30:00.945731800
framework,established helper sofware to develop applications faster and simplier. already contains pre-solved areas.,8,2025-06-15T13:32:07.466544500
encapsulation,hiding details in the objects. for example when field is marked private and is managed using getters and setters.,9,2025-06-15T13:33:32.376097
PV,persisntent volume - storage that is indepdent of containers,9,2025-06-15T19:01:01.415066100
VIP (OpenShift),Virtual Internet Protocol - used to traffic calls within a cluster; often for load balancing reasons.,0,2025-06-15T19:02:39.798909300
SLI,Service Level Indicator - a measurement / metric used to describe how well a service works,9,2025-06-15T19:19:06.074413900
XSS,Cross-Site Scripting - a flaw in the service; where hackers might inject working scripts into it.,8,2025-06-15T19:20:46.826429100
DPIA,Data Protection Impac Accessment - noticing an managing risks when a personal data is being operated,7,2025-06-15T19:22:33.631509200
gateway team,a team that manages external calls to internal systems; for example APIs,8,2025-06-15T19:23:54.505075300
Spring boot,Java framework for creation of web applications.,8,2025-06-15T19:25:20.915678500
OpenShift,Container orchestration platform,9,2025-06-15T19:25:55.494892400
JSP,java server page - html code combined with java logic; such as loops and ifs,10,2025-06-16T10:53:31.677102300
cloud platform,cloud refers that it is located in remote server or servers. platform is sort of environment with tools; where apps can be developed and ran,8,2025-06-16T10:55:49.563908
to stash,to temporarily save current changes in some other place; from where later; those changes can be taken,9,2025-06-16T10:57:13.920194600
RESTful data formats,json; xml,8,2025-06-16T10:59:19.640400500
throttling,intentionally limiting resources that are being used,10,2025-06-16T10:59:47.844431700
hashing,applying algorithms to a value; to get a useful end value. Can be used for security reasons. Hash values may collide.,9,2025-06-16T11:01:54.553416900
canary deployment,installing new features to the production by small portions,9,2025-06-16T11:02:50.347123800
base Java Docker image,environment with java runtimes for container applications to work in,9,2025-06-17T10:01:15.910156900
exploratory testing,free approach for testing,9,2025-06-17T10:01:47.239352700
streamline,to make processes efficient,9,2025-06-17T10:02:13.337102900
data flow,all processes containing data: input; calculations; output,8,2025-06-17T10:03:13.639777400
semantic registration message,key value pairs for registration online,7,2025-06-17T10:04:10.442004800
DPIA,data protection impact assessment - finding and mitigating risks regarding processes with personal data,10,2025-06-17T10:05:43.081591300
MLM,multi level marketing - marketing where seller proffits from his recruits. by many it is considered a pyramid scheme,9,2025-06-17T10:07:05.022070800
XSS,cross-site scripting - web page flaw when hackers can insert malicious scripts into it,10,2025-06-17T10:08:16.339607600
PV,persistant volume - storage that is not dependent on container,7,2025-06-17T10:09:11.182166900
chaos engineering,inserting code that is known to break the application system in order test it,8,2025-06-17T10:12:12.002866100
integrated test environment,prod like environment; where all components are integrated just like in prod,10,2025-06-17T10:13:11.779582100
paradigm,example; pattern; model,10,2025-06-17T10:13:34.730993600
on-premises datacenter,where IT servers are placed in facilities belonging to the company,9,2025-06-17T10:14:30.381044400
obfuscate data,modify personal data so a concrete person cannot be identified from it,9,2025-06-17T10:15:33.755519900
firewall,layer of trafic rules between server and client.,8,2025-06-17T10:16:24.253873400
DRT,disaster recovery testing - checking how well application can be recovered after a disaster,7,2025-06-17T10:17:36.091519600
justified vs excusable,justified marks calculated intentionality of having flaws; excusable has cannotation of just tollerating them,9,2025-06-17T10:19:43.789088600
NOT IN (SQL),operation similar to != or !contains,9,2025-06-17T10:20:50.616052700
hub,central point from where the management comes,8,2025-06-18T19:40:53.499599200
good cohesion (DDD),having only similar functions grouped together,8,2025-06-18T19:41:53.620157500
Wireshark,software for troubleshooting network,9,2025-06-18T19:42:13.222000500
GCT,general complience testing - checks how well regulations are being met,7,2025-06-18T19:45:02.524579800
JPA,java persistance API - standard of managing databases,7,2025-06-18T19:46:06.157796
coupling,interconnecting together,8,2025-06-18T19:46:36.526179900
port,endpoint of communication,10,2025-06-18T19:48:03.109467800
good cohesion for DocManager,each method manages documents: creation; editing; deletion,8,2025-06-18T19:48:48.199714400
CI/CD,ontinuous integration / continuous delivery. Continuous integration is automated testing and compilation of code from various sources and continuous delivery is automated deployment,9,2025-06-18T19:53:23.570710200
DDoS attacks,malicious hacker attacks where target service is being bombarded by overwhelmingly large amount of calls,8,2025-06-18T19:55:02.983877200
suite,a set of related objects. e. g. test suite,10,2025-06-18T19:56:13.483202500
web portal,web page where primary function is to direct to another web pages,9,2025-06-18T19:57:41.533835700
bounded context (example of inventory management),separate part of software where terminology aligns to inventory management,8,2025-06-18T19:59:36.197521600
DevOps,Development and Operations discipline where CI/CD pipelines are being used.,8,2025-06-18T20:01:13.420185600
Helm,Application/Service settings. For example has information on which versions has to be built. What are parameters for app instances.,8,2025-06-18T20:04:57.000675700
RESTful,Means that API has a set of standards: data markup formats; like json or xml; layers in the app like controller; service and storage; standard http calls like PUT or GET.,8,2025-06-18T20:08:34.162075600
partition and sample,in database these are ways to take a portion of entries,9,2025-06-18T20:09:36.179528400
Argo CD,Software to get source code from git and deploy it to Kubernetes clusters.,8,2025-06-18T20:10:58.527844400
CTE (sandbox),common test environment,10,2025-06-19T15:10:05.165490200
infer,conclude from evidence,10,2025-06-19T15:10:43.350683500
microservice,separate unit of software; providing a particular function,9,2025-06-19T15:12:00.310334800
JPA entity management,java persistence API maps entities : objects to relational database tables,9,2025-06-19T15:12:58.857785500
namespace (networking),in containerised application orchestration platforms; this is a subdivision of cluster; or a group of nodes,8,2025-06-19T15:15:05.087240700
postmortem,methodical checks of what went wrong; and steps to prevent it,8,2025-06-19T15:18:45.455316900
RESTful layers,controllers; services and storage,9,2025-06-19T15:19:39.252948700
deploying,installing application to particular environment,9,2025-06-19T15:31:40.678792600
API,application programming interface - endpoints to access exposed functionality,8,2025-06-19T15:53:29.267226700
cohesion (DDD),level of interconnectedness,8,2025-06-19T15:56:04.432591800
regression testing,automated UI testing using tools like Selenium to check if application behaviour is a expected,8,2025-06-19T16:09:23.233105700
greedy solution,solution maximizing immediate result; not planning ahead,10,2025-06-19T16:10:17.047248400
exponent (math),l;skjdfl;gksjdf;lgkjsdf;lgjksd;flkhjs;dlfkhjs;ldfhkj,0,2025-06-19T16:11:06.766762900
CTE (SQL),common table expression,7,2025-06-20T15:58:17.026058400
master node,node from which other nodes are ruled,8,2025-06-20T15:59:12.700846700
database transactions,a group of sql queries which completes one function and is concidered failed if a single of these queries failed,9,2025-06-20T16:05:36.700954600
secret (Kubernetes),confidential key definition information,8,2025-06-20T16:06:19.349644500
deque,data structure. two way que. can be implemented as linked list or array deque,8,2025-06-20T16:08:18.908109300
to prompt,to give ai questions or instructions,8,2025-06-20T16:08:49.110878300
edge (graphs),connection between nodes in a graph. can be directed or go both ways.,9,2025-06-20T16:10:11.074439
hub,central point where decisions are made,9,2025-06-20T16:10:59.283687200
indegree,incomming connection,8,2025-06-20T16:11:38.166222500
exponent (math),when a number is raised by some power; this is this power value,8,2025-06-20T16:12:54.554297900
throughput,amount of data flow that can happen a given moment,8,2025-06-20T16:13:44.834711600
git stash,temporarity put the changes away; so they can be applied later,10,2025-06-20T16:14:10.846838600
unit testing,in java source code most methods has to be checked by this unit test to check if the method's outcome is as aspected,8,2025-06-20T21:12:04.391189300
object mapping (database),when object fields become database table columns,8,2025-06-20T21:13:43.336844100
security testing,checking if the app safe,8,2025-06-20T21:14:31.601882800
dispose of a list,free up a memory where list items were meant to be placed,10,2025-06-20T21:15:53.739619400
facility,building,8,2025-06-20T21:17:21.721056400
bad separation of concerns (DDD),single unit has too wide amplitude of functionalities,9,2025-06-20T21:18:27.052574400
abstract class,a class where there are some implemented code; and some abstract methods that has to overridden in the inheritors,10,2025-06-20T21:20:58.066530700
TDM,test data management,10,2025-06-21T17:20:02.171695300
integrity (of documents),documents are not altered; or not altered in a damaging way; such as faking data,9,2025-06-21T17:21:21.793260800
OKR,objective key requirements - rules of how well should service work,0,2025-06-21T17:22:26.659203600
worker node,a node where service instances can be deployed,9,2025-06-21T17:23:11.362774400
ubiquitous,havind a single meaning some specific business context; both by developers and business people,0,2025-06-21T17:24:43.355966400
PII,persona identifiable information,0,2025-06-22T22:33:28.632075600
bad cohesion (DDD),when a software units completes unrelated functions (from different business areas),9,2025-06-22T22:35:41.244101500
ubiquitous,common; commonly used,9,2025-06-22T22:36:14.692643
OKR,Objectives and key requirements,0,2025-06-22T22:36:50.406426400
garbage collection,when unused memory gets disposed,9,2025-06-22T22:39:30.529567400
Java beans,In Sprint these are Java Objects which one manages by annotations,7,2025-06-22T22:40:58.833216400
performance testing,checking how well service and system behaves with a larger load,8,2025-06-23T10:44:18.097724
test data management for enterprise,large companies having a model how to deal with data in pre production test environmet. Might include creating synthetic data; obfuscating and so on.,9,2025-06-23T10:46:22.769909800
continuous integration components,merging code and testing,8,2025-06-23T10:46:54.191005600
Kafka vs Kubernetes,Orchestration platforms: kafka orchestrates data flow and kubernetes orchestrates containerised applications.,9,2025-06-23T10:48:26.374316200
entity (database),Data entry corresponding to an Object in the back-end.,8,2025-06-23T10:49:47.844398300
technical debt,accumulated code imperfections,10,2025-06-23T11:01:08.628276600
outdegree,in a grapth; the number of outgoing edges (connections from a node to another nodes),10,2025-06-23T11:02:31.022299600
Kerberos,Software managing passwords,8,2025-06-23T11:03:15.947056900
penetration testing,authorised hacking of the system to check voulnerabilities,10,2025-06-23T11:04:15.423411300
collision resistant,means that a product of an algorithm will not cause problems due to matching another instance; when it is supposed to be unique,8,2025-06-23T11:10:49.687987500
RESTful client-server,server is backend providing endpoints and data flow behind them. Client is usually front end system.,9,2025-06-23T11:12:27.083399300
domain,business area with ubiquitous language.,9,2025-06-23T11:12:56.819234500
JPA responsibilities,java persistence API - manages data flow between backend and database,7,2025-06-23T11:13:46.092166
bounded context (example of user management),user management has a separate unit of software which is responsible for user management: user creation; deletion; eding; updates and other,9,2025-06-23T11:15:39.374190800
bounded,in DDD means having a separation between other contexts. Might be through class; module or service.,10,2025-06-23T11:17:16.821756400
value stream,agile business process in VDE to create or enhance software,7,2025-06-23T11:20:02.765080300
JDBC,java data base connection - standard of backend communication to database.,7,2025-06-23T11:20:52.752242100
product backlog (agile),all the task listed by priority in order to deliver a product,9,2025-06-23T11:22:43.725070300
error budget,how much errors are justified,8,2025-06-23T11:23:15.367900700
PV (containerisation),persistant volume - storage independent from container,9,2025-06-23T11:23:50.093679500
pseudonym,real name replaced with newly created one,10,2025-06-23T11:27:08.003225700
collision,when produced hash code matches another instance,9,2025-06-23T11:29:01.609838600
feature flag,a single variable to toggle entire part of software,9,2025-06-23T11:34:15.627934900
present() (Fluentlenium),checks if web element is in the DOM,10,2025-06-23T11:40:36.118773600
Logread,directory where log files are formulated and stored,7,2025-06-23T11:41:16.876477100
container management platform,tool run multiple instances of a service; each in the container and in a separate pod. Might be in a separate cluster or namespace.,8,2025-06-23T11:44:56.268198500
NFC,technology: near field communication: used for payments with debit cards,4,2025-06-23T11:46:06.151219700
DRY,don't repeat yourself - conding principle.,7,2025-06-23T11:47:08.730346
YAML,yaml aint markup language - structured key value pairs,7,2025-06-23T11:48:23.603888800
stop word filtering,meny,0,2025-06-23T11:49:30.609342900
IoC,Inversion of Control - when a framework manages object/bean lifecycle,9,2025-06-23T11:51:40.872594900
master node,a node with reponsibility of managing overall state of other nodes and cluster,10,2025-06-23T11:52:42.801812300
bounded context (example of order processing),a separate part of software for order processing: buying; selling; additional calculations,8,2025-06-23T11:55:12.007259
PII,personally identifieble information,8,2025-06-24T15:16:42.732690600
OKR,objectives and key results,10,2025-06-24T15:18:07.090441400
CFT (company structure),cross-functional team,0,2025-06-24T15:18:41.827392200
CFT (company structure),cross functional team - a team consisting of professionals with different competences,7,2025-06-24T15:22:19.088661300
CFT (company structure),Cross Functional Team - individuals wtih different areas of expertise,7,2025-06-24T15:23:28.890900700
CFT (company structure),Cross Functional Team – a group of individuals from different departments or areas of expertise working together toward a common goal.,7,2025-06-24T15:47:35.736312300
CFT (context: company structure),Please explain this: CFT (company structure),10,2025-06-24T15:50:45.726779500
CFT (context: company structure),cross functional team - individuals with different areas of expertise.,10,2025-06-24T15:52:48.958575100
verbose,containin many words,9,2025-06-24T15:55:03.599872500
memoization,programming technique where intemediate results are stored; so there would not be need to calculate them again,9,2025-06-24T15:56:08.802150300
Spring beans,In Spring framework those are java objects; which lifecycles are managed by inversion of control.,9,2025-06-24T15:57:20.145737900
backlog,list of tasks to be done,9,2025-06-24T15:58:03.442554400
observability,logs and moniroring. anything that would help to see the state of application.,8,2025-06-24T15:58:51.675898800
NFC,near field communitation - technology of informations exchange between devices that are typically a few centimeters away,6,2025-06-24T16:37:13.528583300
NFC,near field communication - technology of informations exchange between devices that are typically a few centimeters away,10,2025-06-24T16:37:59.383625200
irreversible data transformation,it is impossible to backward engineer initial information from the result.,9,2025-06-24T16:40:01.853275
good cohesion (DDD),a software unit serves a praticular narrow business area; having uniquitous language,8,2025-06-24T16:41:36.936546200
VPN,virtual private network - way to safely connect to the internet resources.,9,2025-06-24T16:43:07.322539
commissioning,putting new feature into use,8,2025-06-26T15:49:50.038518900
Kerberos keytab key,secret data used for authentications with target service; but is received from kerberos service,9,2025-06-26T15:51:04.045976600
provisioning,putting new feature into use,8,2025-06-26T15:51:41.137784300
servlet container,in spring this is a pool of objects that expose endponts,3,2025-06-26T15:53:10.416584700
proxy pattern,when the proxy object (the one accessed externally) provides real object. both proxy and real are extended from the same interface.,10,2025-06-26T15:54:51.764630300
Bean factory/ Application context,In Spring these provide lifecycle management for objects (IoC - inversion of control),9,2025-06-26T15:56:15.373372800
Agile Test Quadrants,Test types mapped by two dimesions: technical and buisiness,9,2025-06-26T15:57:01.132407900
operational risk,any type of damage that can be generated by running a service. This might be caused by people; hardware; software or other.,9,2025-06-26T15:58:21.142577900
stop word filtering,technology where searching is optimised by ignoring overly popular words like "the",10,2025-06-26T15:59:15.300825500
PII,Personally Identifiable Information - data from which a person can be identified,10,2025-06-26T16:00:16.344843800
commissioning,putting into working condition,9,2025-06-27T16:49:55.368384100
provisioning,putting into use,7,2025-06-27T16:50:06.877740400
Kerberos keytab key,secret information; sort of password; provided by kerberos service; and is sent to target service for authentication,8,2025-06-27T16:51:39.818331300
abstraction examples,interface; method; class; api,8,2025-06-27T16:53:09.597631
retrieve,to get,8,2025-06-27T16:53:17.578920600
Agile Test Quadrants,tests sorted on two dimentions - technical and business,9,2025-06-27T16:54:05.100520100
accessibility testing,checks of how well people with limited abilities can use the product,10,2025-06-27T16:55:13.138322100
jar hell,happens when multiple dependencies depend of different versions of subdependencies. all versions of subdependencies are downloaded and are confusing which one should be used,9,2025-06-27T16:57:25.647734
semantic registration message,key value pairs; like json used for user authentication,8,2025-06-27T16:58:31.765232400
WoW,way of working - processes within team how things should be done,10,2025-06-27T16:59:19.424695500
coupling (noun) (software),dependecy between two parts of code,9,2025-06-27T16:59:53.749472400
token,user login information that are stored in usually in the cookies,7,2025-06-28T13:12:19.928090400
Hungarian pollution,variables having prefixes or suffixes marking type of the variable,8,2025-06-28T13:58:18.533779700
DevSecOps,specialists and discipline of automated pipelines: integreation: merging; testing; security; and delivery: deployment,8,2025-06-28T13:59:55.535163
credential examples,username; password,8,2025-06-28T14:00:55.157850200
credential,user data that can be used to authenticate,9,2025-06-28T14:01:29.876473100
defensive programming,extra checks for corner cases within code,8,2025-06-28T14:02:14.169769300
JPA,Java Persistence API - standard or java apps interacting to databases,8,2025-06-28T14:03:05.969214600
servlet container,Part of the server which manages servlets that are defined in the application,9,2025-06-28T19:15:54.659287
JPQL,Java Persistence Query Language - tool in java application to write a universal queries; independent of the kind of the database,9,2025-06-28T19:17:09.708123500
provisioning,putting new feature into use,8,2025-06-28T19:17:42.140755
NFS,Network File System - way to access files in the network as if they were local,9,2025-06-28T19:18:39.488626800
operations specialist,specialist that takes care of it infrastructure: servers; deployment; repositories,8,2025-06-28T19:19:39.937244
REST,standard for endpoints. They should be stateless. Standard http actions like GET or PUT. common data markup file types used like JSON. Applications have layers like controller; service and storage.,8,2025-06-28T19:22:24.949685100

connection protection (examples),authentication; access control; key exchange,8,2025-06-29T13:30:23.455465800
artifact,artifact in general is a thing,0,2025-06-29T13:31:04.603660300
code integration,automated code merging; compiling and tests. part of CI/CD pipeline in the DevOps.,9,2025-06-29T13:36:21.892562100
data flow,getting; processing; storing and sending information,8,2025-06-29T13:37:21.333552500
ICT system (components),Information Computing Technology system componens - hardware; software; newtorks and people.,8,2025-06-29T13:41:23.184106200
etcd etymology,et cetera directory - in linux that is directory for various items,8,2025-06-29T13:46:37.156476700
aspect,aspect in aspect oriented programming is a function that can be outsourced from code; while not explicitly calling it in the classes wehre its used. for example logging,8,2025-06-29T13:51:40.594110900
F5,load balancer and traffic orchestrator in kubernetes and OpenShift,9,2025-06-29T13:52:22.423913100
good separation of concerns (DDD),One piece of code; does narrow range of functions - all connected to the same business context and area.,9,2025-06-29T13:53:47.785094300
ECB,Europien Central Bank,7,2025-06-29T13:57:26.391079700
servlet vs controller,both takes care of user requests and send computed infromation; but controller is higher abstraction over servlet.,10,2025-06-29T13:59:06.521260700
JETTY,application server - manages lifecycle of application beans and servlets,8,2025-06-29T14:01:54.925909200
VIP (OpenShift),Virtual IP - directs traffic within cluster; oftern for load balancing purposes,9,2025-06-29T14:03:14.899376200
Rancher platform,orchestration tool for kubernetes containers,9,2025-06-29T14:04:29.661652700
pod,portion of resources where containerised application is deployed.,8,2025-06-29T14:05:40.025777800
assess,check and make sure something is true,8,2025-06-29T14:06:06.985151700
stereotype in Spring,the way to annotate components by @ sign in Spring applications,9,2025-06-29T14:07:47.695754600
deque,two way que in Java; implemented as ArrayDeque or LinkedList,8,2025-06-29T14:08:34.896840
subnet,portion of network,8,2025-06-29T14:08:57.427799300
servlet container,part of application server like Tomcat or Jetty; where the applications servlets' lifecycles are managed,9,2025-06-30T13:38:37.897009500
IMDG,in memory data grid - storage in RAM for quicker access,8,2025-06-30T13:40:21.748240100
JSX,JavaScript XML - format similar to HTML to furmulate web pages with React,8,2025-06-30T13:42:00.451590400
component scanning,process in Spring; where classes and method that has annotations are read,9,2025-06-30T13:43:05.582020400
hash use cases,encryption; security; passwords; integrity; secrets,8,2025-06-30T13:44:09.236586300
operational risk,damage that might happen dure to failure of network; hardware; software or people.,9,2025-06-30T13:45:09.272891
DBA,Data Base Adminitrators - IT team,8,2025-06-30T13:45:29.469803700
container,tool providing environment; runtime and settings for application instance,9,2025-06-30T13:47:07.064773100
customer data domain,operations; processes; software and people dealing with customer information.,9,2025-06-30T13:48:57.865648500
OpenShift vs Kubernetes?,Both are containerised application orchestrating platforms; but OpenShift is higher abstraction of Kubernetes; providing additional functionality,9,2025-06-30T13:50:18.662292900
dispatcher,someone or something that directs flows to different directions,8,2025-07-01T16:22:29.577446700
servlet container,it is where servlet lifecycles are managed in application server; such as Tomcat or Jetty,10,2025-07-01T16:29:30.864259700
compatibility testing,checks if application works well in different environments and or setups.,10,2025-07-01T16:30:12.867592500
life cycle management,taking care or project; application or object throuh planning; initiation and iterations,8,2025-07-01T16:32:05.191965700
build,application built to a deployable file; such as WAR,8,2025-07-01T16:32:56.842499200
namespace (cluster),git notes,0,2025-07-02T10:11:43.043022400
